dataset_name,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017
South Sudan - Roads,28,9,38,14,0
Greece - Administrative Boundaries,9,17,2,5,0
"Ethiopia - Cities, towns and villages",65,73,128,113,2
Mali - Railways,2,5,6,4,0
State of Palestine Populated Places,4,17,20,8,1
Sierra Leone settlements,0,0,31,12,0
Mongolia - Admin Level 1 Boundaries (Polygon &amp; Polyline),6,3,6,5,0
Guinea-Bissau - Water Courses,1,1,0,2,0
Cambodia - Population density,2,2,10,0,0
Iraq - Administrative Boundaries,129,107,136,142,4
Madagascar - Admin Level 2 Boundaries,49,53,14,0,0
Ghana - Settlements - Settlements.zip,0,0,0,1,0
Iraq - Water Bodies(Lakes and Ponds),14,13,28,14,1
CÃ´te d&#39;Ivoire - Administrative Boundaries,22,28,56,44,0
Somalia - Administrative Boundaries (Levels 0-2),0,0,0,209,1
Mozambique - Admin Level 1 Boundaries,11,13,5,1,0
DR Congo - Hydrology,6,23,31,36,0
Djibouti - Aerodromes,0,1,0,0,0
Senegal-healthsites,0,0,0,26,1
Mali - Population Statistics 2013,13,30,46,15,0
Mozambique Administrative Boundaries Level 3 (Postos),0,10,16,11,0
Mali Administrative Boundaries (levels 0 - 4),0,0,0,54,0
Nepal admin level 0 administrative boundaries,13,2,8,5,0
Namibia - Contour Lines,3,2,5,3,0
Sri Lanka - River and Streams,7,9,18,10,1
Liberia - Roads,0,1,12,12,5
Turkey - Admin Level 0 (International) Boundaries (Archived on 4 April 2017),0,0,0,2,0
Sudan - Administrative Boundaries (1 and 2),39,90,56,50,1
Myanmar - Transportation network,16,14,6,18,0
SIERRA LEONE - All Admin Level  Boundaries,0,0,43,22,0
COD y FOD para PerÃº,0,0,1,0,0
Tajikistan - Population Estimates 2016 (up to district level),0,0,28,7,0
Nepal admin level 3 administrative boundaries,51,29,47,50,0
Yemen - Water Courses,11,15,21,24,0
"Syrian Arab Republic - Administrative Boundaries, Populated Places - syr_admin_160927.xlsx",1,0,0,0,0
Ecuador - Admin Level 0 (International) Boundaries,1,0,4,3,0
Nigeria - Water Courses,11,23,16,28,0
Cameroon - Digital Elevation Model - cmr_dem_90 m_wfp.zip,0,2,0,1,0
Burundi - Admin Level 5 Boundaries,2,10,7,6,0
Mali - Settlements,20,18,39,43,3
Bangladesh - Railroads,5,7,10,8,0
DPR Korea - Settlements,4,3,7,9,0
Bolivia - Secondary Roads,1,0,0,1,0
Central African Republic -  Villages and Towns with administrative classification of Central African Republic - CAF_pcode_rowca_20150115.xlsx,0,0,0,1,0
Mongolia - Main roads,4,0,1,2,0
Malawi - Admin Level 2 Boundaries,9,9,6,12,0
Uganda - Settlements,0,1,0,0,0
Tajikistan - Administrative Boundaries (levels 0 - 2),0,0,0,17,0
Liberia - Railways,1,4,3,8,0
Somalia - Admin Level 1 Boundaries,21,22,27,0,0
Senegal - Settlements - sen_pplp_1m_gov_ocha_itos.zip,2,0,2,0,0
Gambia - Water Courses,1,1,2,1,0
Burundi - Settlements(Main Towns),0,1,0,0,0
DPR Korea - Admin Level 0 (International) Boundaries,4,1,3,3,0
Rwanda - Population Statistics - population_of_rwanda_by_province_in_2002.xls,1,1,0,2,0
Myanmar - Hydrology,13,12,6,20,0
Pakistan - Population of Major Cities - world-gazetteer_pakistan_major_cities_population_0.xls,2,4,4,4,0
Libya - Administrative Boundaries and Villages,0,0,99,191,4
Bangladesh - Admin Level 1 Boundaries,14,21,20,19,0
Mauritania - Administrative Boundaries - Admin3 boundary,1,0,0,0,0
Nigeria Railways (data from OSM) - Railways_NGA.zip,0,0,0,1,0
CÃ´te d&#39;Ivoire - Administrative Boundaries - civ_admbnda_adm3_cntig_20160527.zip,0,0,0,1,0
Tajikistan - Population Statistics - Tajikistan_Population_Statistics_2016.xlsx,0,0,0,2,0
Greece - Administrative Boundaries - GR_bsm_admn_adm_py_EuroGeoGraphics_2015_pp.zip,1,0,0,0,0
Yemen - Settlements,9,0,0,0,0
Honduras - Settlements,1,6,4,1,0
Iraq - Administrative Boundaries - Admin Level 2 Boundaries,3,4,2,2,0
Ethiopia - Elevation Model,10,5,19,15,1
Mali - Elevation Model,4,3,5,7,0
Mali - Population projection disaggregated by sex and by sub district 2017,0,0,137,51,0
Rwanda - Population Statistics,6,3,3,6,0
Viet Nam - Settlements,0,4,4,6,0
Burkina Faso - Water Courses - BFA_rvrs_lines_1m_dcw.zip,0,1,0,0,0
Mongolia - Rivers,3,2,0,4,0
Mauritania - Floods Damage Assessments - outil_de_suivi_degats_inondations_15.08.2010.xls,0,1,0,0,0
Nepal admin level 4 administrative boundaries - npl_polbnda_adm4_vdc_25k_50k_sdn_wgs84.shp.zip,0,1,0,0,0
Nepal Population Statistics (Census 2011) - npl_popt_adm4_2011_wfp.csv,5,8,7,9,1
Uganda - Admin Level 6 Boundaries - uganda_parish2006_point.zip,0,0,1,0,0
Mali Administrative Boundaries,43,68,77,35,0
Benin - Administrative Boundaries,30,30,35,35,1
Limites de Peru,0,0,125,60,0
Zimbabwe - Elevation Model,0,4,7,6,0
Libya CODs,0,0,91,0,0
Libya Administrative Boundaries(Level 0 - 2),17,23,48,8,0
Lebanon - Admin Level 1 Boundaries,15,17,17,27,1
Mongolia - Settlements (Populated Places as points),2,2,6,2,0
Nepal admin level 4 administrative boundaries - sdp_admn_ad4_py_s0_surveydept_pp_VDC_municiplaity_merged.zip,0,1,0,0,0
Libya - Elevation Model,0,3,19,6,0
Congo - Administrative Boundaries - Admin 1 Boundary,0,0,2,0,0
Population and Housing Census of Myanmar 2014 - BaselineData_Census_Dataset_-_Township_MIMU_16Jul2015_ENG.xlsx,2,2,0,0,1
Viet Nam - Admin Level 3 Boundaries,2,9,9,6,0
Haiti  - Estimated population of 2015 (with pcodes),42,44,36,26,0
Nepal District Headquarters - npl_pplp_dhq_25K_50K_sdn_wgs84.shp.zip,1,0,0,0,0
Rwanda - Settlements (towns),4,9,3,5,0
Papua New Guinea - Admin Level 2 Boundaries,3,3,8,2,0
Papua New Guinea - Admin Level 3 Boundaries,11,9,15,5,0
Ecuador - Admin Level 1 Boundaries,5,5,5,5,0
Haiti Administrative Boundary level 0 - 3,123,66,83,56,1
"Nepal admin level 5 administrative boundaries - Nepal P-Code List, Administrative Levels 1 - 5",5,6,7,6,1
DR Congo - Population Statistics - DonnÃ©es dÃ©mographiques de base RDC.xlsx,0,2,0,0,0
Sudan - Settlements - sd_settlements_17012016_zipped shapefile (854kb).zip,0,2,2,1,0
Ghana - Settlements - Excel Summary,0,1,2,0,0
Zimbabwe - Admin Level 2 Boundaries,13,22,9,13,0
Kenya - Rivers,30,14,16,30,1
Philippines - Roads,10,8,31,14,2
"Djibouti - Contour Lines, Spot Heights",2,0,0,0,0
Tajikistan - Population Statistics,0,0,0,40,0
Mali - Roads,5,8,19,5,0
Kenya - Admin Level 2 Boundaries - Kenya_Constituencies.zip,0,0,1,0,0
Cambodia - Population Statistics,2,16,39,5,0
Bangladesh - Contour Lines,10,10,11,22,0
Thailand - Admin Level 1 Boundaries,7,4,0,0,0
Haiti - Lakes,9,8,10,5,0
Afghanistan - Elevation Model,7,19,14,14,0
Lebanon - Admin Level 3 Boundaries,13,20,21,19,1
Somalia - Water Courses,0,0,2,0,0
"Syrian Arab Republic - Administrative Boundaries, Populated Places - syr_admin_shp_utf8_170222.zip",0,0,0,1,0
Libya - Transportation  Network,0,0,14,17,0
Uganda - Roads,7,13,43,28,0
Malawi - Admin Level 3 Boundaries,26,24,14,12,0
Somalia - Administrative Boundaries,0,0,12,0,0
Turkey Common Operational Dataset - About COD.pdf,0,1,0,0,0
South Africa - Admin Level 1 Boundaries,2,6,6,4,0
Colombia - Admin Level 0 Boundary,4,0,8,12,0
Cambodia - Admin Level 0 (International) Boundaries,2,8,17,3,1
Namibia - Towns and Settlement Location Points,14,8,24,4,0
Nigeria  Administrative Boundaries,0,17,0,0,0
Kyrgyzstan - Admin Level 0 Boundary (country),5,1,3,9,0
CÃ´te d&#39;Ivoire - Settlements,8,10,28,12,0
Senegal - Railways,2,2,0,2,0
Djibouti - Towns,1,1,2,0,0
Liberia - Admin Level 2 Boundaries,4,20,20,11,0
Ghana - Settlements,14,22,32,30,0
State of Palestine - Gaza Population Projection 2007-2016 - Gaza_Pop_Projection_2007-2016.xlsx,1,0,0,0,0
Cambodia - Admin Level 1 Boundaries,6,19,20,8,0
Madagascar - Admin Level 4 Boundaries,142,25,22,0,0
"Nepal admin level 2 administrative boundaries - Nepal P-Code List, Administrative Levels 1 - 5",0,0,0,1,0
Senegal - Population Statistics - sen_pop_region_2009.xls,1,1,3,2,0
Myanmar - Village tract boundaries (Admin 4),46,20,12,14,0
Bhutan - Water Courses,3,1,3,1,0
CÃ´te d&#39;Ivoire - Water Courses,1,3,10,12,0
Philippines - Contour Lines,0,0,1,0,0
Benin - Administrative Boundaries - Admin1 boundary,1,1,0,0,0
DR Congo - Limite des Zones de santÃ© - Zonedesante_a.zip,0,1,0,0,0
Papua New Guinea - 2000 District-level Census data,2,6,1,5,0
Cameroon - Administrative Boundaries - CMR_pcode_rowca_20150113.xlsx,0,1,2,0,0
Haiti - Rivers,12,10,22,13,0
Yemen - Ports,9,12,19,12,0
DR Congo - Population Statistics,5,59,35,17,0
Libya - Transport Infrastructure,0,0,4,0,0
"Nigeria - Borno Operational Boundaries Admin 1 - 3 (State, LGA, Ward)",54,55,43,0,0
"Nepal P-Code List, Administrative Levels 1 - 5 - Nepal P-codes - Admin 1-5.xls",16,3,6,5,0
Viet Nam - Admin Level 2 Boundaries,2,4,6,7,0
Philippines - Census Population data,61,73,84,59,0
CÃ´te d&#39;Ivoire - Administrative Boundaries - civ_admbndl_admALL_cntig_itos_20160527.zip,0,0,0,1,0
Senegal - Administrative Boundaries,33,32,139,114,2
Burundi - Admin Level 1 Boundaries,6,6,5,8,0
State of Palestine - Hydrography,5,3,8,6,1
Peru - Admin Level 2 Boundaries,0,0,1,0,0
Mauritania - Administrative Boundaries,18,13,14,16,0
Cambodia - Admin Level 2 Boundaries,5,8,22,7,0
Turkey - Admin Level 1 Boundaries (Archived on 4 April 2017),0,0,0,2,0
Libya - Admin Level 0 (International) Boundaries,0,0,10,0,0
Benin - Railways - Railway.zip,0,0,0,1,0
Madagascar - Admin Boundaries Levels 0-4 - mdg_adm1-4_table_Gazetteer.xls,0,0,16,11,0
DPR Korea - Contour Lines,1,4,1,3,0
DR Congo - Administrative Boundaries,26,121,96,50,0
Bhutan - Airports and Airfield,1,1,2,0,0
Cape Verde - Settlements,1,2,2,2,0
DPR Korea - Railways,1,0,1,2,0
Gambia - Elevation Model,1,0,3,2,0
Philippines - Water Courses(Rivers),10,13,11,8,0
Jamaica - Admin Level 1 Boundaries,1,2,0,2,0
Nigeria - Water Courses(Rivers),13,32,23,16,0
Sudan - Admin Level 2 Boundaries - note_on_darfur_admin_boundaries_jan_2012.txt,2,0,0,0,0
Tajikistan: Administrative Boundaries (taxonomy),0,0,0,20,0
DR Congo - Contour Lines,4,4,11,2,0
"Senegal - geodatabase on admin boundaries, settlements, hydrologie, transporation, land use and infrastructure",0,0,1,0,0
Libya - Settlements,8,7,26,0,0
Banadir - Admin Level 2 Boundaries - Mogadishu Districts.zip,0,1,0,0,0
Myanmar Population - Census 2014,0,3,0,36,1
Thailand - Inland Waters,5,6,11,4,0
Mauritania - Population Statistics - MRT_Pop_2000-04_Localite_ons.xls,0,0,0,1,0
Madagascar - Admin Boundaries Levels 0-4,0,0,240,153,0
Mali - Administrative boundaries with population figures,0,0,47,78,0
Rwanda - Administrative Level 3 Boundaries,1,2,16,3,0
Niger - Settlements - Niger_pplp_ocha_itos.zip,0,0,2,1,0
Mauritania - Administrative Boundaries - Admin1 boundary,0,0,0,3,0
Sudan - Roads,3,9,20,9,0
Rwanda - Admin Level 2 Boundaries,2,2,7,3,0
Tunisia - Estimated Population Statistics per delegation,0,0,8,1,0
Kazakhstan - Population Statistics 2015 - Kazakhstan - Population Statistics 2015.xls,1,1,2,2,0
Bolivia - Admin Level 4 Boundaries,1,2,1,3,0
Thailand - Administrative Boundaries,3,53,19,21,4
Chad - Administrative boundaries (levels 0 - 3),0,0,0,45,0
Sudan - Admin Level 1 Boundaries,21,0,0,0,0
Kenya - Settlements,13,37,30,23,0
Colombia - Admin Level 2 Boundaries,14,6,26,112,0
Djibouti - Roads,0,1,1,0,0
Mongolia - Roads Network,4,2,0,4,0
Viet Nam - Railroads,2,2,1,1,0
Chad - GIS geodatabase - TCD_GeoDB_OCHA_20160619.gdb.zip,0,0,1,0,0
Sudan - Admin Level 2 Boundaries,46,0,0,0,0
Mali - Population projection disaggregated by sex and by sub district 2017 - POPULATION_COMMUNES_SEXE_2017.xls,0,0,35,5,0
South Sudan - Rivers,7,4,10,12,0
"Yemen - Administrative Boundaries, Settlements",36,30,40,53,1
Rwanda - Water courses (Rivers),6,9,2,10,0
Viet Nam - Admin Level 1 Boundaries,2,4,21,3,0
Fiji - Administrative Boundaries,12,13,11,13,0
Philippines - Administrative boundaries levels  1  - 3  (June2016),61,83,149,133,3
Nigeria Railways (data from OSM),17,15,18,18,0
Mauritania - Floods Damage Assessments,0,2,0,0,0
Uganda - Admin Level 5 Boundaries,30,38,32,12,1
Myanmar - Village locations (Admin 5),39,16,13,13,1
Services and alternative formats of Nepal Administrative Boundaries (levels 0-5),0,0,1,0,0
Mauritania - Population Statistics - MRT_Pop_2000-04_Commune_ons.xls,0,0,0,1,0
DR Congo - Limite des Zones de santÃ© - Zone_StÃ©_Puc.zip,0,1,0,0,0
RDC - Statistiques des populations,0,0,0,45,0
Afghanistan - Admin Level 2 (District) Boundaries,25,43,81,0,0
Sudan - Settlements,11,98,77,59,1
Mali - Water Courses,8,10,8,7,1
Madagascar - Admin Level 1 Boundaries,57,21,41,0,0
Burkina Faso - Health,1,0,2,0,0
Philippines - Roads - Philipines Roads Network,4,4,0,1,0
Ghana - Administrative Boundaries,58,91,95,93,1
Burkina Faso - Administrative Boundaries - bfa_admbnd0_1m_Salb.zip,1,0,0,0,0
Kenya - Admin Level 5 Boundaries,18,24,1,0,0
Turkey - Settlements (Archived on 4 April 2017),0,0,0,1,0
Niger - Settlements,8,13,18,20,0
Administrative Boundaries and Villages - Libya (CODs),0,0,12,0,0
Rwanda - Settlements,7,9,23,4,0
Mongolia - Main roads in Ulaanbaatar,4,0,0,3,0
sen_geoDB_ocha_20170306,0,0,15,0,0
Namibia - Perennial River Basins &amp; the Cuvelai System-Catchment,5,11,10,5,0
Nigeria - Water Courses - NGA_river_line_dcw.shp.zip,0,0,1,0,0
"Nepal admin level 1 administrative boundaries - Nepal P-Code List, Administrative Levels 1 - 5",2,0,1,1,0
Madagascar - Admin Level 3 Boundaries,89,21,16,0,0
Kyrgyzstan - Population Statistics,10,8,7,5,0
Armenia - Population Census 2011 - Armenia - Population Census 2011.xlsx,1,0,0,2,0
Sri Lanka - Admin Level 2 Boundaries with Census 2012 (Polygon),15,17,10,9,0
Eritrea - Admin Level 1 Boundaries,7,3,5,2,0
Tanzania - Admin Level 3 Boundaries,17,21,37,17,0
Bangladesh - Admin Level 3 Boundaries - bgd_bnd_admin3_bbs.zip,0,3,0,0,0
Ecuador - Admin Level 2 Boundaries,1,4,9,1,0
Nigeria  - Administrative Boundaries (levels 0 - 3),0,53,282,382,5
Bhutan - Roads,2,6,5,7,0
Cambodia - Canals,1,5,18,10,0
Lebanon - Estimated figures for the resident population,32,19,22,25,1
South Sudan - Settlement Data - SSD_PopulatedPlaces_Supporting_Info_gdb_2016.zip,0,0,0,1,0
Mongolia - Admin Level 2 Boundaries (Polygon &amp; Polyline),13,11,1,2,0
Kenya administrative boundaries - Kenya County &amp; Subcounty Pcode.xlsx,0,0,0,2,0
Congo - Roads,5,7,6,7,0
Myanmar Administrative Boundary level 0 - 3,0,8,0,3,0
Bangladesh - Admin Level 2 Boundaries - bgd_bnd_admin2_bbs.zip,0,6,1,0,0
Nigeria - Roads - nga roads.shp.zip,0,0,0,2,0
Dominican Republic - Admin Level 3 Boundaries,6,1,1,5,0
Bangladesh - Roads,26,20,31,42,0
"Nigeria admin level 0,1 and 2  administrative boundaries",47,56,36,0,0
Egypt - Settlements,0,0,2,0,0
Nigeria Primary and Secondary Roads (data from OSM),26,35,26,17,1
Congo - Administrative Boundaries,4,21,27,21,0
Papua New Guinea - Water Courses,4,2,1,5,0
Bangladesh - Rivers,14,16,27,34,0
Egypt - Roads Network,0,0,2,0,0
Kazakhstan - Population distribution by settlements and number of households,5,7,12,10,0
Niger - Elevation Model,8,3,7,10,1
Mauritania - Elevation Model,1,0,3,1,0
Peru - Admin Level 3 Boundaries,0,0,2,0,0
Cambodia - Railroads,3,6,10,2,0
"Centros Poblados 2012, Colombia.",3,6,7,10,0
Honduras - Roads,3,8,3,2,0
"Nepal admin level 3 administrative boundaries - Nepal P-Code List, Administrative Levels 1 - 5",8,3,9,5,0
Tajikistan administrative level 1 boundaries (polygon),1,0,0,2,0
Sao Tome And Principe - Administrative Boundaries,8,4,14,13,0
"Nepal P-Code List, Administrative Levels 1 - 5",26,16,18,15,0
Benin - Railways,1,2,2,0,0
Kenya - Admin Level 3 Boundaries,9,15,1,0,0
Kenya - Admin Level 2 Boundaries,9,14,93,108,0
Benin - Roads,5,5,10,4,1
Yemen - Administrative Boundaries - Admin-2.zip,0,0,0,0,1
"Settlements (villages, towns, cities)",50,44,83,49,0
Turkey - Settlements,0,0,0,1,0
DR Congo - Transportation Network,14,32,40,27,1
Sao Tome And Principe - Settlements,7,4,6,7,0
Guinea-Bissau - Administrative Boundaries - Admin 1 Boundary,0,0,1,1,0
Nigeria Primary and Secondary Roads (data from OSM) - Roads_NGA.zip,0,0,1,0,0
Mali - Settlements - MLI_pcode,1,3,0,1,0
Benin - Settlements,14,10,25,16,0
Cambodia - Rivers,4,7,19,2,0
Philippines - Census Population data - PHL_pop_2015_PSA.xlsx,8,10,16,13,0
Iraq - Roads Network,22,28,28,28,1
"Bahamas - Administrative Boundaries (Level 0, 1)",2,3,2,1,0
Afghanistan - UNAMA Region Boundaries,9,12,20,0,0
Mauritania - Estimated 2012 population,0,4,1,0,0
Syrian Arab Republic - Elevation Model,10,8,14,14,0
Mauritania: Settlements,3,3,4,1,0
Madagascar - Admin Level 1 Boundaries - mdg_polbnda_adm1_region_ndmo_ocha_metadata.txt,0,1,0,0,0
Myanmar - Administrative  boundaries,78,58,88,79,2
Cambodia - Roads,3,7,13,5,0
Papua New Guinea - Admin Level 1 Boundaries,5,3,9,2,0
DivisiÃ³n polÃ­tica de Honduras - Listado de Municipios de Honduras.xlsx,0,1,0,0,0
Laos - Admin Level 2 Boundaries,20,25,31,0,0
Mali  -  Administrative Boundaries (levels 0 - 4),0,0,0,15,5
DPR Korea - Admin Level 2 Boundaries,1,2,4,3,0
Tunisia - Population Statistics per Governorate,0,6,6,4,0
Lesotho - 2006 Population Census,6,6,8,6,0
Haiti - Settlements,15,32,61,20,0
Somalia - Administrative Boundaries (Levels 1-2) - regional-boundaries_polygon.zip,0,0,0,1,0
Rwanda - Water Bodies (Lakes),2,7,4,2,0
Mauritania - Population Statistics,0,0,3,5,0
Banadir - Admin Level 2 Boundaries,7,9,12,0,0
Nepal admin level 4 administrative boundaries,75,46,58,67,1
Western Sahara - Transportation Network,0,0,1,0,0
Mali - Population projection disaggregated by sex and by sub district 2017 - POPULATION_COMMUNES_SEXE_2017.xlsx,0,0,3,0,0
Gambia - Population Statistics,1,1,1,4,0
DRC - Administrative Boundaries (levels 0 - 3),0,0,0,89,15
Djibouti - Admin Level 2 Boundaries,1,2,8,1,0
Chad - Admin boundaries (admin 1 and admin 2),0,0,0,15,0
Gambia - Population Statistics - gmb_adm2-pop_1m_gbs.xls,0,0,1,1,0
"Settlements (villages, towns, cities) - irq_pplp_ocha_20140722.zip",0,0,1,0,0
Senegal - Population Statistics,5,2,8,6,0
Mauritania - Rivers,0,1,0,2,0
Colombia - Admin Level 1 Boundaries,8,2,7,17,0
Eritrea - Settlements - Eritrea - Populated places (settlements),1,0,0,0,0
"Mali - Main, secondary rivers and water bodies",4,11,15,6,1
CÃ´te d&#39;Ivoire - Roads,2,6,14,8,0
Sri Lanka - Tanks and Reservoirs,13,3,12,6,0
Philippines - Admin level 4  boundaries  (Barangay) June2016,0,5,2,4,0
Armenia - Population Census 2011,5,2,3,0,0
Tunisia - Population Statistics per Governorate - tab6_fr_Gov_estimation_01 january 2013.xls,0,3,1,0,0
Gambia - Settlements,7,9,16,5,0
Mali - Population projection disaggregated by sex and by sub district 2017 - POPULATION_COMMUNES_SEXE_2017_HXL.xls,0,0,13,0,0
Cameroon - Administrative Boundaries - CMR_All_admin_line_1m_salb.zip,0,0,1,1,0
Nepal Watercourses - Rivers - npl_watcrsa_hydro_25K_50K_sdn_wgs84.shp.zip,0,1,1,0,0
Philippines - Administrative boundaries levels  1  - 3  (June2016) - PSGC_PSA_PH_June_2016.xlsx,6,6,11,17,0
Mauritania - Administrative Boundaries - Admin2 boundary,1,0,0,0,0
Equatorial Guinea - Settlements,1,1,3,1,0
Senegal - Settlements,2,14,29,17,0
Gambia - Administrative Boundaries,1,0,0,0,0
"Egypt - Administrative Boundaries, Populated Places",0,0,2,0,0
Burkina Faso - Elevation Model,2,1,1,6,0
Sudan - Administrative Boundaries (1 and 2) - sd_admbnda_adm1_17012016_zipped shapefile (334kb).zip,0,0,2,0,0
Zimbabwe - Admin Level 1 Boundaries,12,8,7,11,0
Settlements in Turkey,0,25,2,0,0
Kenya - Admin Level 1 Boundaries,18,36,60,33,0
Myanmar - Administrative Boundary level 0 - 3,0,0,0,35,2
Burundi - Admin Level 2 Boundaries,2,4,11,6,0
Thailand - Admin Level 3 Boundaries,14,5,0,0,0
Turkey Rivers,0,14,17,17,0
CÃ´te d&#39;Ivoire - Water Bodies,4,2,10,10,0
Afghanistan - Estimated Population  2016/2017,0,114,78,61,1
Ethiopia - Administrative Boundaries(Level 0 - 3),167,188,0,0,0
Haiti - Ports,6,8,17,6,0
Ghana - Roads,0,3,7,4,0
Senegal - Water Courses,2,4,1,3,0
Bolivia - Main Roads,0,0,1,0,0
Uganda - Administrative 4 Boundaries (IGAD-IDDRSI),9,10,7,6,0
Uganda - Admin Level 4 Boundaries,9,15,17,8,0
Mauritania - Railways,0,0,1,1,0
Colombia - Population Estimates and Projections 1985 -2020,13,10,18,12,0
Pakistan - Admin Level 2 Boundaries,25,21,27,34,0
Mali - Population projection disaggregated by sex and by sub district,0,0,2,0,0
Nigeria - Population Statistics - nga_demography.xls,7,12,8,9,0
State of Palestine - Population Projection 2012- 2014,3,3,8,2,0
DR Congo - Limite des Zones de santÃ© - Zonedesante_l.zip,0,0,1,0,0
Liberia - Lakes,6,7,9,20,0
"Lebanon - Settlements (villages, towns, cities)",27,41,53,20,4
"Western Sahara - Administrative Boundaries (Levels 0-1), Populated Places",0,0,3,0,0
Bhutan - Settlements,3,6,11,1,0
Burkina Faso - Administrative Boundaries,48,36,54,107,0
State of Palestine - Gaza Population Projection 2007-2016,2,2,9,6,1
Nepal Watercourses - Rivers - npl_watcrsl_hydro_25K_50K_sdn_wgs84.shp.zip,0,2,0,0,0
Mongolia - Admin Level 0 Boundaries,1,4,1,0,0
Tunisia - Admin Level 0 (International) Boundaries,0,0,2,0,0
Nepal road network - npl_majrdsl_gist.zip,0,0,0,1,0
Mozambique Administrative Boundaries Level 3 (Postos) - moz_polbnda_adm3_postos_wfp_ine_ocha_.zip,0,0,0,1,0
Contribute,58,105,185,152,1
Myanmar - Transportation,0,4,0,31,1
Bangladesh - Major Towns,8,1,0,0,0
Ukraine Administrative Boundaries,0,0,0,2,0
Uganda - Admin Level 2 Boundaries,9,13,19,8,0
Kenya - Admin Level 2 Boundaries - Kenya County &amp; Subcounty Pcode.xlsx,0,0,0,5,0
Papua New Guinea - 2000 Provincial Census data,1,3,3,2,1
Burkina Faso: Settlements,4,7,22,10,2
Sudan - Contour Lines,0,1,0,0,0
"Nigeria - Admin Level 0 (International) Boundaries, Admin Level 1 Boundaries, Admin Level 2 Boundaries",0,0,0,1,0
DR Congo - Settlements,17,39,33,20,3
Fiji - Administrative Boundaries - Province_gcs_wgs84.zip,0,0,0,2,0
Sri Lanka - Main Roads,8,2,8,2,0
Chad - GIS geodatabase,72,60,83,133,3
Pakistan - Admin Level 1 Boundaries,19,14,25,24,1
Ecuador - Admin Level 3 Boundaries,2,2,9,3,0
Gabon - Administrative Boundaries,5,17,5,15,0
Guinea-Bissau - Roads,4,3,3,0,0
SIERRA LEONE - Admin Level 1 Boundaries,4,5,3,0,0
Malawi - Admin Level 1 Boundaries,5,5,5,9,0
Pakistan - Admin Level 3 Boundaries,44,37,41,48,3
Peru - Admin Level 0 (International) Boundaries,0,0,1,0,0
Nigeria - Settlements,44,40,50,66,1
Madagascar - Admin Level 4 Boundaries - mdg_polbnda_adm4_fokontany_ndmo_ocha_metadata.txt,2,1,2,0,0
Ethiopia - Roads Network - Ethiopia_roads_network.zip,0,1,0,1,0
Peru - Admin Level 1 Boundaries,0,0,2,0,0
Administrative Boundaries and Settlements - Libya (CODs),0,0,18,0,0
Ethiopia - Population Statistics,44,101,107,72,3
Cambodia - Settlements,3,3,16,4,0
