,dataset_name,1/1/2017_x,2/1/2017_x,3/1/2017_x,4/1/2017_x,5/1/2017_x,1/1/2017_y,2/1/2017_y,3/1/2017_y,4/1/2017_y,5/1/2017_y,package_id,package_name,package_has_admin_boundary_tag,package_tag_list,package_has_cod_tag,package_author,package_caveats,package_dataset_date,package_total_res_downloads,package_methodology,package_title,package_creator,organisation_name,package_notes,package_num_resources,package_tracking_summary_total,package_dataset_source,package_locations_list
30,"Ethiopia - Cities, towns and villages",17,40,68,28,3,65.0,73.0,128.0,113.0,2.0,4f158439-f0e0-4bbb-a620-9897facf24a6,ethiopia-settlements,False,"cod ,geodata ,nodeid4746 ,points ,populated places ,settlements",True,None,"**Languages:** EN 
",03/02/2016,39.0,Other,"Ethiopia - Cities, towns and villages",hdx,ocha-ethiopia,Populated places dataset for Ethiopia endorsed by the Inter-Cluster Information Management Working group (ICIMWG) on March 2 2016 after cleaning and processing done by ITOS. Source: Multiple sources,2.0,659.0,Multiple sources,Ethiopia
31,Mali - Railways,1,4,5,1,0,2.0,5.0,6.0,4.0,0.0,0df54fd0-ff05-4e4b-9e74-a93684e74548,mali-railways,False,"cod ,geodata ,infrastructure ,lines ,nodeid4382 ,transportation",True,None,"**Languages:** EN
",01/26/2012,10.0,Other,Mali - Railways,hdx,ocha-mali,"The present geodata represents the railway network. It comes from Digital Chart of the World (DCW).

Scale: 1/1,000,000
 



",1.0,123.0,Digital Chart of the World (DCW),Mali
32,State of Palestine Populated Places,2,3,9,1,0,4.0,17.0,20.0,8.0,1.0,e4a6598d-b371-470c-b0e3-ddf88674fb08,state-of-palestine-populated-places,False,"cod ,points ,populated places ,settlements",True,,,01/01/2016,0.0,Other,State of Palestine Populated Places,yaghmour,ocha-opt,State of Palestine Populated Places endorsed by COD on January 2016; see metadata for description of cleaning and processing performed by ITOS. ,1.0,113.0,OCHA oPt,State of Palestine
33,Sierra Leone settlements,0,0,9,5,0,0.0,0.0,31.0,12.0,0.0,20f6a388-49d3-4e78-a50d-e1ca0c52a3bf,sierra-leone-settlements,False,"cod ,points ,populated places ,settlements ,sierra leone",True,None,Cleaned and pcoded OCHA ROWCA and ITOS.,03/13/2017,0.0,Other,Sierra Leone settlements,oumousy2_,ocha-rowca,"Settlements COD datasets for Sierra Leone  endorsed by RO on july 2016 (original source NGA); see metadata for description of cleaning and processing performed by ITOS on March 2017.
Capitals (national, province, district and chiefdom)
The dataset represents all the location (towns and villages) of Sierra leone. Scale: 1/1,000,000 
Last update March 2017",1.0,14.0,"NGA, Gov",Sierra Leone
34,Mongolia - Admin Level 1 Boundaries (Polygon &amp; Polyline),8,3,4,2,0,6.0,3.0,6.0,5.0,0.0,,,,,,,,,,,,,,,,,,
35,Guinea-Bissau - Water Courses,2,2,0,0,0,1.0,1.0,0.0,2.0,0.0,8a11bab3-27dd-4d99-9095-8c4c873f4067,guinea-bissau-water-courses,False,"cod ,geodata ,hydrology ,migration-processing ,nodeid4149 ,polygon ,rivers",True,None,"**Most Recent Changes:** (2014-11-28) Metadata update



**Languages:** EN
",01/19/2013,5.0,Other,Guinea-Bissau - Water Courses,hdx,ocha-rowca,"River polygon of Guinea Bissau

The dataset represents the polygons of Guinea Bissau rivers. The names and descriptions of the hydrology network have been included in the attributes.

Scale: 1/1,000,000


",2.0,69.0,Digital Chart of the World (DCW),Guinea-Bissau
36,Cambodia - Population density,1,1,5,0,0,2.0,2.0,10.0,0.0,0.0,081557ff-3cb9-4ee1-a018-d7f88d36d44c,cambodia-population-statistics-0,False,"cod ,geodata ,nodeid4285 ,population ,raster",True,None,"**Languages:** EN
",12/31/2010,4.0,Other,Cambodia - Population density,hdx,ocha-roap," Cambodia population density from LandScan [GIST Group, Oak Ridge National Laboratory](https://www.ornl.gov/sci/landscan)",1.0,88.0,Oak Ridge National Laboratory,Cambodia
37,Iraq - Administrative Boundaries,84,58,106,82,3,129.0,107.0,136.0,142.0,4.0,488bb3cd-3ce9-49d3-862a-3ce7975c63e1,iraq-admin-level-1-boundaries,True,"administrative boundaries ,cod ,geodata ,nodeid4548 ,polygon",True,None,"Admin COD datasets for IRQ endorsed by IMWG and CO on October 2015; see metadata for description of cleaning and processing performed by ITOS. Changes incorporated in the shape (Iraq_admin1_poly) (aside from the 3 HR columns) are the pcodes and names. The latest pcodes were incorporated in the shape files and some admin names were corrected. (19June2014) New pcode is used and in the absence of authoritative (Government or otherwise) geodata, these CODs are referred as as a common geographical reference dataset (21July 2014)

Consider this CODs as a common geographical reference dataset, rather than a definitive cartographic product.

**Languages:** EN
",07/17/2014,80.0,Other,Iraq - Administrative Boundaries,hdx,ocha-iraq," Admin COD datasets for IRQ endorsed by IMWG and CO on October 2015; see metadata for description of cleaning and processing performed by ITOS. The dataset represents Admin Level 0 (International), Admin Level 1 (Governorate), Admin Level 2 (District).",3.0,670.0,"Humanitarian Information Centre (HIC), Landsat,  United States National Imagery Mapping Agency (NIMA) ",Iraq
38,Madagascar - Admin Level 2 Boundaries,40,27,12,0,0,49.0,53.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,
39,Iraq - Water Bodies(Lakes and Ponds),6,6,15,9,1,14.0,13.0,28.0,14.0,1.0,3506058f-565a-4ad3-8498-ac2e32dfe2ef,iraq-water-bodies,False,"cod ,geodata ,hydrology ,lakes ,nodeid4553 ,polygon",True,None,"**Languages:** EN
",01/01/2004,26.0,Other,Iraq - Water Bodies(Lakes and Ponds),hdx,ocha-iraq,"Location of lakes and water ponds  in iraq

1:50,000 Baseline spatial data



 



",1.0,129.0,United States National Imagery Mapping Agency (NIMA),Iraq
40,CÃ´te d&#39;Ivoire - Administrative Boundaries,20,38,77,44,0,22.0,28.0,56.0,44.0,0.0,,,,,,,,,,,,,,,,,,
41,Mozambique - Admin Level 1 Boundaries,3,3,5,1,0,11.0,13.0,5.0,1.0,0.0,bd967796-fa5b-4633-929e-25ecec459f78,mozambique-admin-level-1-boundaries,True,"administrative boundaries ,cod ,geodata ,nodeid37828 ,polygon",True,None,"**Languages:** EN
",10/16/2014,12.0,Other,Mozambique - Admin Level 1 Boundaries,hdx,ocha-rosa,Admin Level 1 of Mozambique,1.0,58.0,"World Food Programme (WFP), OCHA ",Mozambique
42,DR Congo - Hydrology,3,14,52,24,0,6.0,23.0,31.0,36.0,0.0,ed5dc64f-c229-4c03-9672-6d0d9b82e59c,dr-congo-hydrology,False,"cod ,geodata ,hydrology ,lines ,nodeid111737 ,points ,polygon",True,None,"**Languages:** FR
",10/31/2016,41.0,Other,DR Congo - Hydrology,hdx,ocha-dr-congo,"Données Hydrologiques

Les cours d'eau, les lacs, les cascades
",4.0,84.0,Référentiel Géographique Commun,Democratic Republic of the Congo
43,Senegal-healthsites,0,0,0,13,0,0.0,0.0,0.0,26.0,1.0,c0137f69-bf61-4991-8ed6-50bf603beed5,senegal-healthsites,False,"cod ,health ,health centres ,health facilities ,health posts ,healthsites ,hospital ,senegal",True,Global Healthsites Mapping Project,Read the Healthsites concept note http://bit.ly/2ocL2KY,04/10/2017,18.0,Social Media and institutional sharing,Senegal-healthsites,aboudieye,healthsites,"This dataset shows the list of operating health facilities. Attributes included: Name,Nature of Facility, Activities, Lat, Long",4.0,105.0,Global Healthsites Mapping Project,Senegal
44,CÃ´te d&#39;Ivoire - Roads,0,3,8,2,0,2.0,6.0,14.0,8.0,0.0,,,,,,,,,,,,,,,,,,
45,Mozambique Administrative Boundaries Level 3 (Postos),0,5,8,6,0,0.0,10.0,16.0,11.0,0.0,9902e5fb-5728-4fcf-8710-f45e58fc3f9e,mozambique-administrative-boundaries-level-3-postos,True,"administrative boundaries ,cod",True,None,"WFP/INE Administrative Boundaries Level 3 (Posto's). Codes added by OCHA. 
(Mahate, Save, Vanduzi and Meluco Postos cleaned and exploded into multi-part polygons per District by OCHA) ",12/31/2007,0.0,Census,Mozambique Administrative Boundaries Level 3 (Postos),amanda_vickers,ocha-rosa,Mozambique Administrative Boundaries Level 3 (Postos) ,1.0,34.0,"WFP, INE, OCHA ",Mozambique
46,Mali Administrative Boundaries (levels 0 - 4),0,0,0,11,0,0.0,0.0,0.0,54.0,0.0,,,,,,,,,,,,,,,,,,
47,Nepal admin level 0 administrative boundaries,6,1,6,4,0,13.0,2.0,8.0,5.0,0.0,4ce820eb-2eb0-4c11-9cb8-587b042ce271,nepal-admin-level-0-administrative-boundaries,True,"administrative boundaries ,cod ,geodata ,nepal earthquake",True,,,01/01/2001,461.0,Other,Nepal admin level 0 administrative boundaries,cj,ocha-nepal,International boundary of Nepal.,2.0,417.0,"Survey Department, Nepal","Nepal ,Nepal Earthquake"
